CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
39705;14-JAN-19;5192018;253
39706;15-JAN-19;5192018;253
39707;16-JAN-19;5192018;253
39708;17-JAN-19;5192018;253
39709;18-JAN-19;5192018;253
39710;19-JAN-19;5192019;253
39711;20-JAN-19;5192020;253
39712;21-JAN-19;5192018;253
39713;22-JAN-19;5192018;253
39714;23-JAN-19;5192018;253
39715;24-JAN-19;5192018;253
39716;25-JAN-19;5192018;253
39717;26-JAN-19;5192019;253
39718;27-JAN-19;5192020;253
40065;28-JAN-19;5212024;254
40066;29-JAN-19;5212024;254
40067;30-JAN-19;5212024;254
40068;31-JAN-19;5212024;254
40069;1-feb-19;5212024;254
